harvest_measurement_id:r2,experiment_name,plot_name,plot_side,block,harvest_name,date,year,system_code,plant_part,crop,measurement_amount,measurement_name,measurement_unit
137,century,2_4,E,1,summer,1999-08-31,1999,LMT,red_fruit,solanum_lycopersicum,27.257,fresh_wt,tonnes/ha
138,century,2_4,W,1,summer,1999-08-31,1999,LMT,red_fruit,solanum_lycopersicum,24.125,fresh_wt,tonnes/ha
139,century,4_3,E,2,summer,1999-08-31,1999,CWT,red_fruit,solanum_lycopersicum,75.074,fresh_wt,tonnes/ha
140,century,4_3,W,2,summer,1999-08-31,1999,CWT,red_fruit,solanum_lycopersicum,76.937,fresh_wt,tonnes/ha
141,century,4_4,E,2,summer,1999-08-31,1999,LMT,red_fruit,solanum_lycopersicum,54.57,fresh_wt,tonnes/ha
142,century,4_4,W,2,summer,1999-08-31,1999,LMT,red_fruit,solanum_lycopersicum,51.582,fresh_wt,tonnes/ha
143,century,5_4,E,2,summer,1999-08-31,1999,UN,red_fruit,solanum_lycopersicum,32.254,fresh_wt,tonnes/ha
144,century,5_4,W,2,summer,1999-08-31,1999,UN,red_fruit,solanum_lycopersicum,33.86,fresh_wt,tonnes/ha
145,century,5_5,E,2,summer,1999-08-31,1999,CMT,red_fruit,solanum_lycopersicum,30.535,fresh_wt,tonnes/ha
146,century,5_5,W,2,summer,1999-08-31,1999,CMT,red_fruit,solanum_lycopersicum,28.568,fresh_wt,tonnes/ha
147,century,6_5,E,2,summer,1999-09-01,1999,OMT,red_fruit,solanum_lycopersicum,77.665,fresh_wt,tonnes/ha
148,century,6_5,W,2,summer,1999-09-01,1999,OMT,red_fruit,solanum_lycopersicum,78.647,fresh_wt,tonnes/ha
149,century,6_9,E,3,summer,1999-09-01,1999,LMT,red_fruit,solanum_lycopersicum,43.895,fresh_wt,tonnes/ha
150,century,6_9,W,3,summer,1999-09-01,1999,LMT,red_fruit,solanum_lycopersicum,33.497,fresh_wt,tonnes/ha
151,century,7_8,E,3,summer,1999-09-01,1999,CMT,red_fruit,solanum_lycopersicum,32.769,fresh_wt,tonnes/ha
152,century,7_8,W,3,summer,1999-09-01,1999,CMT,red_fruit,solanum_lycopersicum,27.932,fresh_wt,tonnes/ha
153,century,7_9,E,3,summer,1999-09-01,1999,CWT,red_fruit,solanum_lycopersicum,105.579,fresh_wt,tonnes/ha
154,century,7_9,W,3,summer,1999-09-01,1999,CWT,red_fruit,solanum_lycopersicum,102.791,fresh_wt,tonnes/ha
155,century,8_8,E,3,summer,1999-09-01,1999,OMT,red_fruit,solanum_lycopersicum,72.965,fresh_wt,tonnes/ha
156,century,8_8,W,3,summer,1999-09-01,1999,OMT,red_fruit,solanum_lycopersicum,78.939,fresh_wt,tonnes/ha
157,century,1_1,E,1,summer,2000-08-22,2000,LMT,red_fruit,solanum_lycopersicum,64.86,fresh_wt,tonnes/ha
158,century,1_1,W,1,summer,2000-08-22,2000,LMT,red_fruit,solanum_lycopersicum,65.027,fresh_wt,tonnes/ha
159,century,1_3,E,1,summer,2000-08-22,2000,CMT,red_fruit,solanum_lycopersicum,76.99,fresh_wt,tonnes/ha
160,century,1_3,W,1,summer,2000-08-22,2000,CMT,red_fruit,solanum_lycopersicum,70.227,fresh_wt,tonnes/ha
161,century,2_3,E,1,summer,2000-08-22,2000,OMT,red_fruit,solanum_lycopersicum,78.34,fresh_wt,tonnes/ha
162,century,2_3,W,1,summer,2000-08-22,2000,OMT,red_fruit,solanum_lycopersicum,71.308,fresh_wt,tonnes/ha
163,century,2_5,E,1,summer,2000-08-22,2000,CWT,red_fruit,solanum_lycopersicum,61.345,fresh_wt,tonnes/ha
164,century,2_5,W,1,summer,2000-08-22,2000,CWT,red_fruit,solanum_lycopersicum,71.604,fresh_wt,tonnes/ha
165,century,4_5,E,2,summer,2000-08-22,2000,CMT,red_fruit,solanum_lycopersicum,75.893,fresh_wt,tonnes/ha
166,century,4_5,W,2,summer,2000-08-22,2000,CMT,red_fruit,solanum_lycopersicum,82.815,fresh_wt,tonnes/ha
167,century,5_3,E,2,summer,2000-08-22,2000,CWT,red_fruit,solanum_lycopersicum,85.819,fresh_wt,tonnes/ha
168,century,5_3,W,2,summer,2000-08-22,2000,CWT,red_fruit,solanum_lycopersicum,87.704,fresh_wt,tonnes/ha
169,century,6_3,E,2,summer,2000-08-22,2000,LMT,red_fruit,solanum_lycopersicum,77.489,fresh_wt,tonnes/ha
170,century,6_3,W,2,summer,2000-08-22,2000,LMT,red_fruit,solanum_lycopersicum,82.258,fresh_wt,tonnes/ha
171,century,6_4,E,2,summer,2000-08-22,2000,OMT,red_fruit,solanum_lycopersicum,61.281,fresh_wt,tonnes/ha
172,century,6_4,W,2,summer,2000-08-22,2000,OMT,red_fruit,solanum_lycopersicum,68.146,fresh_wt,tonnes/ha
173,century,6_6,E,3,summer,2000-08-22,2000,CWT,red_fruit,solanum_lycopersicum,72.802,fresh_wt,tonnes/ha
174,century,6_6,W,3,summer,2000-08-22,2000,CWT,red_fruit,solanum_lycopersicum,72.796,fresh_wt,tonnes/ha
175,century,6_7,E,3,summer,2000-08-22,2000,LMT,red_fruit,solanum_lycopersicum,76.474,fresh_wt,tonnes/ha
176,century,6_7,W,3,summer,2000-08-22,2000,LMT,red_fruit,solanum_lycopersicum,75.575,fresh_wt,tonnes/ha
177,century,6_8,E,3,summer,2000-08-22,2000,OMT,red_fruit,solanum_lycopersicum,71.612,fresh_wt,tonnes/ha
178,century,6_8,W,3,summer,2000-08-22,2000,OMT,red_fruit,solanum_lycopersicum,69.558,fresh_wt,tonnes/ha
179,century,8_9,E,3,summer,2000-08-22,2000,CMT,red_fruit,solanum_lycopersicum,84.624,fresh_wt,tonnes/ha
